Pos,P+,Artist and Title,Wks,Pk,(x?),Streams,Streams+,Total
105,+3,The Highstool Prophets - This Is The Life,42,45,,"91,977","+3,568","3,673,997"
106,+15,The Fray - How to Save a Life,41,90,,"91,454","+8,395","2,821,619"
107,-2,RAYE - Escapism. (w/ 070 Shake),71,1,(x2),"91,211",+719,"10,372,532"
108,-13,Fontaines D.C. - I Love You,46,62,,"91,055","-5,242","3,893,767"
109,+4,Paolo Nutini - Candy,168,15,,"90,602","+4,094","15,111,886"
110,+6,Olivia Dean - A Couple Minutes,3,110,,"90,483","+5,161","246,309"
111,+3,Coldplay - Yellow,282,5,,"90,101","+3,605","20,532,857"
112,+8,Tkandz - NOW OR NEVER (w/ CXSPER),2,112,,"89,987","+6,495","173,479"
113,+2,Radiohead - Creep,38,85,,"88,179","+2,216","2,843,176"
114,-39,Amble - Hand Me Downs,8,37,,"88,013","-16,785","939,916"
115,-28,Lewis Capaldi - Survive,16,10,,"87,789","-12,360","2,173,500"
116,-10,Tate McRae - Revolving door,33,10,,"86,993","-3,069","4,416,653"
117,-20,Mazzy Star - Fade Into You,41,97,,"86,618","-8,377","2,968,422"
118,-20,The Cranberries - Dreams,136,42,,"86,107","-8,089","9,364,373"
119,-12,Hozier - Too Sweet,81,1,(x4),"85,814","-3,207","23,576,227"
120,+6,Wheatus - Teenage Dirtbag,59,118,,"84,908","+3,198","3,190,443"
121,+2,Fleetwood Mac - Go Your Own Way - 2004 Remaster,291,53,,"84,705","+2,455","16,839,659"
122,+7,Fleetwood Mac - Silver Springs - 2004 Remaster,16,122,,"84,458","+3,355","1,185,857"
123,+2,Vance Joy - Riptide,536,3,(x2),"84,199","+2,286","30,869,526"
124,+41,EsDeeKid - Phantom (w/ Rico Ace),2,124,,"83,994","+10,722","157,266"
125,-16,Lola Young - Messy,48,2,(x3),"83,453","-4,741","11,054,904"
126,-9,Noah Kahan - Northern Attitude,81,24,,"83,374","-1,809","7,792,349"
127,+4,Sam Fender - Seventeen Going Under,125,3,(x1),"83,108","+2,462","12,575,855"
128,-16,KETTAMA - It Gets Better - Forever Mix,8,112,,"80,649","-6,391","627,808"
129,+39,Ed Sheeran - Photograph,209,4,,"80,325","+8,285","7,850,963"
130,+23,Tom Odell - Another Love,261,9,,"80,316","+4,912","25,967,009"
131,-21,Kingfishr - 21,8,37,,"80,297","-7,223","852,880"
132,+18,Franz Ferdinand - Take Me Out,18,132,,"79,798","+4,116","920,526"
133,=,ROSÉ - APT. (w/ Bruno Mars),52,4,,"79,770",+107,"10,226,297"
134,+11,Coldplay - Viva La Vida,226,7,,"79,769","+2,942","21,074,871"
135,+23,Benson Boone - Sorry I'm Here For Someone Else,33,18,,"79,757","+5,723","3,596,196"
136,-2,Olivia Dean - Loud,3,128,,"79,548",-113,"239,718"
137,+2,The Verve - Bitter Sweet Symphony,42,63,,"79,305","+1,226","2,867,357"
138,+6,Benson Boone - In The Stars,90,13,,"79,002","+2,131","6,576,069"
139,-15,"Gracie Abrams - I Love You, I'm Sorry",68,3,(x4),"78,812","-3,394","13,442,621"
140,-12,Amble - Of Land and Sea,28,60,,"78,779","-2,347","2,225,764"
141,+5,Hozier - Take Me To Church,473,2,(x1),"78,658","+2,617","26,936,539"
142,-20,Fontaines D.C. - Bug,54,24,,"78,437","-4,550","5,337,269"
143,-16,Amble - Little White Chapel,27,79,,"78,364","-3,183","2,001,599"
144,-33,Tame Impala - The Less I Know The Better,92,79,,"78,209","-8,892","3,898,652"
145,-3,Zach Bryan - Heading South,116,9,,"78,207",+689,"11,827,932"
146,-28,Of Monsters and Men - Little Talks,115,29,,"78,014","-6,953","3,482,428"
147,=,Zach Bryan - Revival,43,8,,"77,978","+2,077","4,135,356"
148,-13,"RUMI - Free (w/ Jinu, Ejae, Andrew Choi, KPop Demon Hunters Cast)",12,97,,"77,885","-1,710","999,099"
149,+34,Michael Marcagi - Scared To Start,90,5,,"77,716","+8,925","16,786,678"
150,-31,Sabrina Carpenter - Go Go Juice,7,18,,"77,305","-7,035","1,053,966"
151,-3,Teddy Swims - The Door,69,30,,"77,244","+1,431","7,687,303"
152,RE,Portugal. The Man - Feel It Still,85,11,,"77,022",,"6,323,090"
153,-21,The Weeknd - Timeless (w/ Playboi Carti),41,18,,"76,977","-2,809","4,766,220"
154,-3,Teddy Swims - Bad Dreams,57,19,,"76,122",+459,"6,851,986"
155,RE,Luke Combs - Ain't No Love In Oklahoma (From Twisters: The Album),9,126,,"75,825",,"637,359"
156,RE,The Script - Breakeven,66,75,,"75,521",,"4,657,024"
157,+32,"Pitbull - Give Me Everything (w/ Ne-Yo, AFROJACK, Nayer)",62,50,,"75,471","+7,928","4,433,636"
158,+27,Bruce Springsteen - Dancing In the Dark,121,23,,"75,378","+6,614","9,153,233"
159,+23,Kings of Leon - Sex on Fire,228,45,,"75,196","+5,933","14,796,958"
160,-30,Rossi. - High On Me (w/ Jazzy),17,28,,"75,178","-5,470","2,004,134"
161,-5,Ed Sheeran - Sapphire,19,55,,"74,926",+469,"1,820,981"
162,+5,Coldplay - The Scientist,107,8,,"74,710","+2,069","6,985,356"
163,-20,Lorde - Ribs,25,22,,"74,622","-2,638","2,481,100"
164,NEW,Kid Cudi - Maui Wowie,1,164,,"74,521",,"74,521"
165,-28,Morgan Seatree - Say My Name - Remix (w/ Florence + The Machine),37,40,,"73,551","-5,237","3,523,896"
166,+5,Shaboozey - A Bar Song (Tipsy),79,2,(x2),"73,477","+1,799","18,565,346"
167,-13,Amble - Mariner Boy,20,82,,"73,365","-1,176","1,504,474"
168,-6,Lady Gaga - Die With A Smile (w/ Bruno Mars),61,5,,"73,268",-435,"11,964,125"
169,-10,Sabrina Carpenter - Espresso,79,1,(x6),"72,927",-990,"22,060,559"
170,RE,"ROLE MODEL - Sally, When The Wine Runs Out",15,90,,"72,754",,"1,182,920"
171,-31,The Weeknd - Blinding Lights,215,1,(x7),"72,728","-5,112","26,875,219"
172,-3,Picture This - Take My Hand,140,32,,"72,666",+684,"6,448,554"
173,+6,Zach Bryan - 28,67,11,,"72,015","+2,541","7,238,044"
174,-13,Sam Fender - People Watching,34,72,,"71,818","-2,010","2,751,463"
175,-23,KATSEYE - Gabriela,7,123,,"71,742","-3,775","521,263"
176,-13,Creedence Clearwater Revival - Have You Ever Seen The Rain,116,52,,"71,716","-1,800","8,567,578"
177,-7,Nelly Furtado - Promiscuous (w/ Timbaland),158,60,,"71,495",-218,"9,161,681"
178,+16,"Fred again.. - Victory Lap (w/ Skepta, PlaqueBoyMax)",17,39,,"71,043","+4,068","1,517,466"
179,-43,Amble - Like The Piper,3,127,,"70,950","-8,152","230,605"
180,-20,Kingfishr - Man On The Moon,31,33,,"70,537","-3,306","3,043,487"
181,-32,Olivia Dean - Close Up,3,118,,"70,385","-5,424","229,941"
182,-1,Sabrina Carpenter - Taste,60,1,(x7),"70,254",+941,"14,668,452"
183,-26,Charli xcx - party 4 u,26,14,,"69,893","-4,479","3,324,348"
184,-29,Amble - Marlay Park,18,84,,"69,537","-4,974","1,456,746"
185,-12,Oasis - Don't Look Back in Anger - Remastered,128,5,,"69,209","-2,319","7,322,212"
186,RE,The Cranberries - Zombie - 2025 Remastered,6,181,,"69,183",,"406,857"
187,RE,Tate McRae - greedy,93,2,(x3),"68,891",,"15,082,966"
188,RE,oskar med k - Make Me Feel,4,186,,"68,199",,"265,334"
189,RE,The Weeknd - Save Your Tears (Remix) (w/ Ariana Grande),20,65,,"68,127",,"1,074,408"
190,-24,Chrystal - The Days - NOTION Remix (w/ NOTION),42,8,,"68,017","-4,858","5,590,250"
191,-17,Crowded House - Don't Dream It's Over,36,42,,"67,894","-2,238","2,744,872"
192,RE,James Arthur - Say You Won't Let Go,339,1,(x6),"67,781",,"20,083,331"
193,-21,CMAT - Take A Sexy Picture Of Me,23,44,,"67,720","-3,922","2,324,168"
194,+2,Tears For Fears - Everybody Wants To Rule The World,149,59,,"67,616","+1,037","9,355,085"
195,RE,Luke Combs - Beautiful Crazy,3,118,,"67,517",,"183,418"
196,RE,The Game - Hate It Or Love It (w/ 50 Cent),84,34,,"67,086",,"5,645,598"
197,RE,Red Hot Chili Peppers - Scar Tissue,5,171,,"66,874",,"331,147"
198,RE,Michael Jackson - Billie Jean,13,159,,"66,591",,"570,119"
199,RE,Billy Joel - She's Always a Woman,32,77,,"66,375",,"2,485,716"
200,RE,Kanye West - Homecoming (w/ Chris Martin),113,53,,"66,285",,"7,729,042"
